author	title	pub	year
Lang, Udo, Elisabeth Müller, Nicola Naujoks, and Jurg Dual.	Microscopical investigations of PEDOT: PSS thin films	 Advanced Functional Materials 19, no. 8 (2009): 1215-1220	2009
Hong, Wenjing, Yuxi Xu, Gewu Lu, Chun Li, and Gaoquan Shi.	Transparent graphene/PEDOT–PSS composite films as counter electrodes of dye-sensitized solar cells	 Electrochemistry Communications 10, no. 10 (2008): 1555-1558	2008
Nardes, A. Mantovani, Martijn Kemerink, René AJ Janssen, Jolanda AM Bastiaansen, Nicole MM Kiggen, Bea MW Langeveld, Albert JJM Van Breemen, and Margreet M. De Kok.	Microscopic understanding of the anisotropic conductivity of PEDOT: PSS thin films	 Advanced Materials 19, no. 9 (2007): 1196-1200	2007
Hwang, Jaehyung, Fabrice Amy, and Antoine Kahn.	Spectroscopic study on sputtered PEDOT· PSS: Role of surface PSS layer	 Organic electronics 7, no. 5 (2006): 387-396	2006
Nardes, A. Mantovani, M. Kemerink, M. M. De Kok, E. Vinken, K. Maturova, and R. A. J. Janssen.	Conductivity, work function, and environmental stability of PEDOT: PSS thin films treated with sorbitol	 Organic electronics 9, no. 5 (2008): 727-734	2008
Vitoratos, E., S. Sakkopoulos, Evangelos Dalas, N. Paliatsas, Dimitrios Karageorgopoulos, Fotini Petraki, Stella Kennou, and Stelios A. Choulis.	Thermal degradation mechanisms of PEDOT: PSS	 Organic Electronics 10, no. 1 (2009): 61-66	2009
Jönsson, S. K. M., Jonas Birgerson, Xavier Crispin, Grzegorz Greczynski, Wojciech Osikowicz, AW Denier Van der Gon, William R. Salaneck, and Mats Fahlman.	The effects of solvents on the morphology and sheet resistance in poly (3, 4-ethylenedioxythiophene)–polystyrenesulfonic acid (PEDOT–PSS) films	 Synthetic metals 139, no. 1 (2003): 1-10	2003
Lang, Udo, Nicola Naujoks, and Jurg Dual.	Mechanical characterization of PEDOT: PSS thin films	 Synthetic Metals 159, no. 5-6 (2009): 473-479	2009
Timpanaro, S., Martijn Kemerink, F. J. Touwslager, M. M. De Kok, and S. Schrader.	Morphology and conductivity of PEDOT/PSS films studied by scanning–tunneling microscopy	 Chemical Physics Letters 394, no. 4-6 (2004): 339-343	2004
Greczynski, Grzegorz, Th Kugler, and W. R. Salaneck.	Characterization of the PEDOT-PSS system by means of X-ray and ultraviolet photoelectron spectroscopy	 Thin Solid Films 354, no. 1-2 (1999): 129-135	1999
Takano, Takumi, Hiroyasu Masunaga, Akihiko Fujiwara, Hidenori Okuzaki, and Takahiko Sasaki.	PEDOT nanocrystal in highly conductive PEDOT: PSS polymer films	 Macromolecules 45, no. 9 (2012): 3859-3865	2012
Eom, Seung Hun, S. Senthilarasu, Periyayya Uthirakumar, Sung Cheol Yoon, Jongsun Lim, Changjin Lee, Hyun Seok Lim, J. Lee, and Soo-Hyoung Lee.	Polymer solar cells based on inkjet-printed PEDOT: PSS layer	 Organic Electronics 10, no. 3 (2009): 536-542	2009
Kim, Nara, Seyoung Kee, Seoung Ho Lee, Byoung Hoon Lee, Yung Ho Kahng, Yong‐Ryun Jo, Bong‐Joong Kim, and Kwanghee Lee.	Highly conductive PEDOT: PSS nanofibrils induced by solution‐processed crystallization	 Advanced materials 26, no. 14 (2014): 2268-2272	2014
Louwet, Frank, L. Groenendaal, Jan DHaen, Jean Manca, L. Leenders, J. Van Luppen, and E. Verdonck.	PEDOT/PSS: synthesis, characterization, properties and applications	 (2003)	2003
Alemu, Desalegn, Hung-Yu Wei, Kuo-Chuan Ho, and Chih-Wei Chu.	Highly conductive PEDOT: PSS electrode by simple film treatment with methanol for ITO-free polymer solar cells	 Energy & environmental science 5, no. 11 (2012): 9662-9671	2012
Vosgueritchian, Michael, Darren J. Lipomi, and Zhenan Bao.	Highly conductive and transparent PEDOT: PSS films with a fluorosurfactant for stretchable and flexible transparent electrodes	 Advanced functional materials 22, no. 2 (2012): 421-428	2012
Bae, Eun Jin, Young Hun Kang, Kwang-Suk Jang, and Song Yun Cho.	Enhancement of thermoelectric properties of PEDOT: PSS and tellurium-PEDOT: PSS hybrid composites by simple chemical treatment	 Scientific reports 6 (2016): 18805	2016
Sun, Kuan, Shupeng Zhang, Pengcheng Li, Yijie Xia, Xiang Zhang, Donghe Du, Furkan Halis Isikgor, and Jianyong Ouyang.	Review on application of PEDOTs and PEDOT: PSS in energy conversion and storage devices	 Journal of Materials Science: Materials in Electronics 26, no. 7 (2015): 4438-4462	2015
Nardes, Alexandre Mantovani, Rene AJ Janssen, and Martijn Kemerink.	A morphological model for the solvent‐enhanced conductivity of PEDOT: PSS thin films	 Advanced Functional Materials 18, no. 6 (2008): 865-871	2008
Greczynski, G., Th Kugler, M. Keil, Wojciech Osikowicz, Mats Fahlman, and William R. Salaneck.	Photoelectron spectroscopy of thin films of PEDOT–PSS conjugated polymer blend: a mini-review and some new results	 Journal of Electron Spectroscopy and Related Phenomena 121, no. 1-3 (2001): 1-17	2001
Huang, Jingsong, Paul F. Miller, John C. de Mello, Andrew J. de Mello, and Donal DC Bradley.	Influence of thermal treatment on the conductivity and morphology of PEDOT/PSS films	 Synthetic Metals 139, no. 3 (2003): 569-572	2003
De Kok, M. M., M. Buechel, S. I. E. Vulto, P. Van de Weijer, E. A. Meulenkamp, S. H. P. M. De Winter, A. J. G. Mank, H. J. M. Vorstenbosch, C. H. L. Weijtens, and V. Van Elsbergen.	Modification of PEDOT: PSS as hole injection layer in polymer LEDs	 physica status solidi (a) 201, no. 6 (2004): 1342-1359	2004
Xia, Yijie, and Jianyong Ouyang.	PEDOT: PSS films with significantly enhanced conductivities induced by preferential solvation with cosolvents and their application in polymer photovoltaic cells	 Journal of Materials Chemistry 21, no. 13 (2011): 4927-4936	2011
Kim, Yong Hyun, Christoph Sachse, Michael L. Machala, Christian May, Lars Müller‐Meskamp, and Karl Leo.	Highly conductive PEDOT: PSS electrode with optimized solvent and thermal post‐treatment for ITO‐free organic solar cells	 Advanced Functional Materials 21, no. 6 (2011): 1076-1081	2011
Nardes, A. M., M. Kemerink, and R. A. J. Janssen.	Anisotropic hopping conduction in spin-coated PEDOT: PSS thin films	 Physical review B 76, no. 8 (2007): 085208	2007
Crispin, Xavier, F. L. E. Jakobsson, Annica Crispin, P. C. M. Grim, Peter Andersson, A. Volodin, Christian Van Haesendonck, Mark Van der Auweraer, William R. Salaneck, and Magnus Berggren.	The origin of the high conductivity of poly (3, 4-ethylenedioxythiophene)− poly (styrenesulfonate)(PEDOT− PSS) plastic electrodes	 Chemistry of Materials 18, no. 18 (2006): 4354-4360	2006
Lipomi, Darren J., Jennifer A. Lee, Michael Vosgueritchian, Benjamin C-K. Tee, John A. Bolander, and Zhenan Bao.	Electronic properties of transparent conductive films of PEDOT: PSS on stretchable substrates	 Chemistry of Materials 24, no. 2 (2012): 373-382	2012
Kemerink, Martijn, S. Timpanaro, M. M. De Kok, E. A. Meulenkamp, and F. J. Touwslager.	Three-dimensional inhomogeneities in PEDOT: PSS films	 The Journal of Physical Chemistry B 108, no. 49 (2004): 18820-18825	2004
Zhang, B., J. Sun, H. E. Katz, F. Fang, and R. L. Opila.	Promising thermoelectric properties of commercial PEDOT: PSS materials and their Bi2Te3 powder composites	 ACS applied materials & interfaces 2, no. 11 (2010): 3170-3178	2010
Shi, Hui, Congcong Liu, Qinglin Jiang, and Jingkun Xu.	Effective approaches to improve the electrical conductivity of PEDOT: PSS: a review	 Advanced Electronic Materials 1, no. 4 (2015): 1500017	2015
Snaith, Henry J., Henry Kenrick, Marco Chiesa, and Richard H. Friend.	Morphological and electronic consequences of modifications to the polymer anode ‘PEDOT: PSS’	 Polymer 46, no. 8 (2005): 2573-2578	2005
Na, Seok-In, Gunuk Wang, Seok-Soon Kim, Tae-Wook Kim, Seung-Hwan Oh, Byung-Kwan Yu, Takhee Lee, and Dong-Yu Kim.	Evolution of nanomorphology and anisotropic conductivity in solvent-modified PEDOT: PSS films for polymeric anodes of polymer solar cells	 Journal of Materials Chemistry 19, no. 47 (2009): 9045-9053	2009
Gkoupidenis, Paschalis, Nathan Schaefer, Benjamin Garlan, and George G. Malliaras.	Neuromorphic functions in PEDOT: PSS organic electrochemical transistors	 Advanced Materials 27, no. 44 (2015): 7176-7180	2015
Wei, Qingshuo, Masakazu Mukaida, Yasuhisa Naitoh, and Takao Ishida.	Morphological change and mobility enhancement in PEDOT: PSS by adding co‐solvents	 Advanced materials 25, no. 20 (2013): 2831-2836	2013
Kim, Youngkyoo, Amy M. Ballantyne, Jenny Nelson, and Donal DC Bradley.	Effects of thickness and thermal annealing of the PEDOT: PSS layer on the performance of polymer solar cells	 Organic Electronics 10, no. 1 (2009): 205-209	2009
Taylor, Priscilla G., Jin‐Kyun Lee, Alexander A. Zakhidov, Margarita Chatzichristidi, Hon Hang Fong, John A. DeFranco, George G. Malliaras, and Christopher K. Ober.	Orthogonal patterning of PEDOT: PSS for organic electronics using hydrofluoroether solvents	 Advanced Materials 21, no. 22 (2009): 2314-2317	2009
Okuzaki, Hidenori, Yuko Harashina, and Hu Yan.	Highly conductive PEDOT/PSS microfibers fabricated by wet-spinning and dip-treatment in ethylene glycol	 European Polymer Journal 45, no. 1 (2009): 256-261	2009
Friedel, Bettina, Panagiotis E. Keivanidis, Thomas JK Brenner, Agnese Abrusci, Christopher R. McNeill, Richard H. Friend, and Neil C. Greenham.	Effects of layer thickness and annealing of PEDOT: PSS layers in organic photodetectors	 Macromolecules 42, no. 17 (2009): 6741-6747	2009
Fung, Dixon DS, Linfang Qiao, Wallace CH Choy, Chuandao Wang, E. I. Wei, Fengxian Xie, and Sailing He.	Optical and electrical properties of efficiency enhanced polymer solar cells with Au nanoparticles in a PEDOT–PSS layer	 Journal of Materials Chemistry 21, no. 41 (2011): 16349-16356	2011
Okuzaki, H., H. Suzuki, and T. J. S. M. Ito.	Electrically driven PEDOT/PSS actuators	 Synthetic Metals 159, no. 21-22 (2009): 2233-2236	2009
Kuş, Mahmut, and Salih Okur.	Electrical characterization of PEDOT: PSS beyond humidity saturation	 Sensors and Actuators B: Chemical 143, no. 1 (2009): 177-181	2009
Cho, Chung-Ki, Woo-Jin Hwang, Kyoungtae Eun, Sung-Hoon Choa, Seok-In Na, and Han-Ki Kim.	Mechanical flexibility of transparent PEDOT: PSS electrodes prepared by gravure printing for flexible organic solar cells	 Solar Energy Materials and Solar Cells 95, no. 12 (2011): 3269-3275	2011
Ouyang, Jianyong.	“Secondary doping” methods to significantly enhance the conductivity of PEDOT: PSS for its application as transparent electrode of optoelectronic devices	 Displays 34, no. 5 (2013): 423-436	2013
Latessa, G., F. Brunetti, A. Reale, G. Saggio, and A. Di Carlo.	Piezoresistive behaviour of flexible PEDOT: PSS based sensors	 Sensors and Actuators B: Chemical 139, no. 2 (2009): 304-309	2009
